,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
232,12,Michael Redd,23,MIL,1.0,9.0,590,0.015,82,28.2,15.1,4.5,1.4,1.2,0.2,.469,.438,.805,8.0,.167,2003,https://www.basketball-reference.com//players/r/reddmi01.html,https://www.basketball-reference.com/req/202106291/images/players/reddmi01.jpg
233,13,Metta World Peace,23,IND,1.0,7.0,590,0.012,69,33.6,15.5,5.2,2.9,2.3,0.7,.428,.336,.736,7.2,.150,2003,https://www.basketball-reference.com//players/a/artesro01.html,https://www.basketball-reference.com/req/202106291/images/players/artesro01.jpg
234,14T,Andrei Kirilenko,21,UTA,1.0,5.0,590,0.008,80,27.7,12.0,5.3,1.7,1.5,2.2,.491,.325,.800,9.2,.199,2003,https://www.basketball-reference.com//players/k/kirilan01.html,https://www.basketball-reference.com/req/202106291/images/players/kirilan01.jpg
235,14T,Dirk Nowitzki,24,DAL,1.0,5.0,590,0.008,80,39.0,25.1,9.9,3.0,1.4,1.0,.463,.379,.881,16.1,.249,2003,https://www.basketball-reference.com//players/n/nowitdi01.html,https://www.basketball-reference.com/req/202106291/images/players/nowitdi01.jpg
236,14T,Jermaine O'Neal,24,IND,1.0,5.0,590,0.008,77,37.2,20.8,10.3,2.0,0.9,2.3,.484,.333,.731,10.5,.177,2003,https://www.basketball-reference.com//players/o/onealje01.html,https://www.basketball-reference.com/req/202106291/images/players/onealje01.jpg
237,14T,Stephon Marbury,25,PHO,0.0,5.0,590,0.008,81,40.0,22.3,3.2,8.1,1.3,0.2,.439,.301,.803,9.6,.142,2003,https://www.basketball-reference.com//players/m/marbust01.html,https://www.basketball-reference.com/req/202106291/images/players/marbust01.jpg
238,18T,Stephen Jackson,24,SAS,0.0,4.0,590,0.007,80,28.2,11.8,3.6,2.3,1.6,0.4,.435,.320,.760,4.8,.102,2003,https://www.basketball-reference.com//players/j/jacksst02.html,https://www.basketball-reference.com/req/202106291/images/players/jacksst02.jpg
239,18T,Tracy McGrady,23,ORL,0.0,4.0,590,0.007,75,39.4,32.1,6.5,5.5,1.7,0.8,.457,.386,.793,16.1,.262,2003,https://www.basketball-reference.com//players/m/mcgratr01.html,https://www.basketball-reference.com/req/202106291/images/players/mcgratr01.jpg
240,18T,Brad Miller,26,IND,0.0,4.0,590,0.007,73,31.1,13.1,8.3,2.6,0.9,0.6,.493,.313,.818,9.6,.202,2003,https://www.basketball-reference.com//players/m/millebr01.html,https://www.basketball-reference.com/req/202106291/images/players/millebr01.jpg
241,21T,Brent Barry,31,SEA,0.0,3.0,590,0.005,75,33.1,10.3,4.0,5.1,1.5,0.2,.458,.403,.795,7.3,.141,2003,https://www.basketball-reference.com//players/b/barrybr01.html,https://www.basketball-reference.com/req/202106291/images/players/barrybr01.jpg
242,21T,Kevin Garnett,26,MIN,0.0,3.0,590,0.005,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225,2003,https://www.basketball-reference.com//players/g/garneke01.html,https://www.basketball-reference.com/req/202106291/images/players/garneke01.jpg
243,21T,Zydrunas Ilgauskas,27,CLE,0.0,3.0,590,0.005,81,30.0,17.2,7.5,1.6,0.7,1.9,.441,.000,.781,5.0,.099,2003,https://www.basketball-reference.com//players/i/ilgauzy01.html,https://www.basketball-reference.com/req/202106291/images/players/ilgauzy01.jpg
244,21T,Eric Snow,29,PHI,0.0,3.0,590,0.005,82,37.9,12.9,3.7,6.6,1.6,0.1,.452,.219,.858,8.4,.130,2003,https://www.basketball-reference.com//players/s/snower01.html,https://www.basketball-reference.com/req/202106291/images/players/snower01.jpg
245,25,Earl Boykins,26,GSW,0.0,2.0,590,0.003,68,19.4,8.8,1.3,3.3,0.6,0.1,.429,.377,.865,3.5,.127,2003,https://www.basketball-reference.com//players/b/boykiea01.html,https://www.basketball-reference.com/req/202106291/images/players/boykiea01.jpg
246,26T,Dion Glover,24,ATL,0.0,1.0,590,0.002,76,24.9,9.7,3.7,1.9,0.9,0.2,.427,.354,.784,2.6,.065,2003,https://www.basketball-reference.com//players/g/glovedi01.html,https://www.basketball-reference.com/req/202106291/images/players/glovedi01.jpg
247,26T,Anfernee Hardaway,31,PHO,0.0,1.0,590,0.002,58,30.6,10.6,4.4,4.1,1.1,0.4,.447,.356,.794,2.3,.062,2003,https://www.basketball-reference.com//players/h/hardaan01.html,https://www.basketball-reference.com/req/202106291/images/players/hardaan01.jpg
248,26T,Antawn Jamison,26,GSW,0.0,1.0,590,0.002,82,39.3,22.2,7.0,1.9,0.9,0.5,.470,.311,.789,8.5,.126,2003,https://www.basketball-reference.com//players/j/jamisan01.html,https://www.basketball-reference.com/req/202106291/images/players/jamisan01.jpg
249,26T,Steve Nash,28,DAL,0.0,1.0,590,0.002,82,33.1,17.7,2.9,7.3,1.0,0.1,.465,.413,.909,11.6,.206,2003,https://www.basketball-reference.com//players/n/nashst01.html,https://www.basketball-reference.com/req/202106291/images/players/nashst01.jpg
250,26T,Rasho Nesterović,26,MIN,0.0,1.0,590,0.002,77,30.4,11.2,6.5,1.5,0.5,1.5,.525,.000,.642,5.2,.107,2003,https://www.basketball-reference.com//players/n/nestera01.html,https://www.basketball-reference.com/req/202106291/images/players/nestera01.jpg
251,26T,Stromile Swift,23,MEM,0.0,1.0,590,0.002,67,22.1,9.7,5.7,0.7,0.8,1.6,.481,.000,.722,3.3,.108,2003,https://www.basketball-reference.com//players/s/swiftst01.html,https://www.basketball-reference.com/req/202106291/images/players/swiftst01.jpg
252,1,Zach Randolph,22,POR,59.0,379.0,605,0.626,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111,2004,https://www.basketball-reference.com//players/r/randoza01.html,https://www.basketball-reference.com/req/202106291/images/players/randoza01.jpg
253,2,Carlos Boozer,22,CLE,12.0,166.0,605,0.274,75,34.6,15.5,11.4,2.0,1.0,0.7,.523,.167,.768,9.4,.174,2004,https://www.basketball-reference.com//players/b/boozeca01.html,https://www.basketball-reference.com/req/202106291/images/players/boozeca01.jpg
