,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
340,13T,Andre Iguodala,25,PHI,0.0,3.0,595,0.005,82,39.9,18.8,5.7,5.3,1.6,0.4,.473,.307,.724,9.2,.134,2009,https://www.basketball-reference.com//players/i/iguodan01.html,https://www.basketball-reference.com/req/202106291/images/players/iguodan01.jpg
341,13T,Anderson Varejão,26,CLE,0.0,3.0,595,0.005,81,28.5,8.6,7.2,1.0,0.9,0.8,.536,.000,.616,8.0,.166,2009,https://www.basketball-reference.com//players/v/varejan01.html,https://www.basketball-reference.com/req/202106291/images/players/varejan01.jpg
342,15,Ronny Turiaf,26,GSW,0.0,2.0,595,0.003,79,21.5,5.9,4.6,2.1,0.4,2.1,.508,.000,.790,3.6,.101,2009,https://www.basketball-reference.com//players/t/turiaro01.html,https://www.basketball-reference.com/req/202106291/images/players/turiaro01.jpg
343,16T,Trevor Ariza,23,LAL,0.0,1.0,595,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146,2009,https://www.basketball-reference.com//players/a/arizatr01.html,https://www.basketball-reference.com/req/202106291/images/players/arizatr01.jpg
344,16T,Marcus Camby,34,LAC,0.0,1.0,595,0.002,62,31.0,10.3,11.1,2.0,0.8,2.1,.512,.250,.725,5.2,.129,2009,https://www.basketball-reference.com//players/c/cambyma01.html,https://www.basketball-reference.com/req/202106291/images/players/cambyma01.jpg
345,16T,Grant Hill,36,PHO,0.0,1.0,595,0.002,82,29.8,12.0,4.9,2.3,1.1,0.7,.523,.316,.808,5.3,.104,2009,https://www.basketball-reference.com//players/h/hillgr01.html,https://www.basketball-reference.com/req/202106291/images/players/hillgr01.jpg
346,16T,Joel Przybilla,29,POR,0.0,1.0,595,0.002,82,23.8,5.5,8.7,0.3,0.4,1.2,.625,.000,.663,6.6,.163,2009,https://www.basketball-reference.com//players/p/przybjo01.html,https://www.basketball-reference.com/req/202106291/images/players/przybjo01.jpg
347,16T,Josh Smith,23,ATL,0.0,1.0,595,0.002,69,35.1,15.6,7.2,2.4,1.4,1.6,.492,.299,.588,4.9,.097,2009,https://www.basketball-reference.com//players/s/smithjo03.html,https://www.basketball-reference.com/req/202106291/images/players/smithjo03.jpg
348,16T,Hedo Türkoğlu,29,ORL,0.0,1.0,595,0.002,77,36.6,16.8,5.3,4.9,0.8,0.2,.413,.356,.807,7.3,.125,2009,https://www.basketball-reference.com//players/t/turkohe01.html,https://www.basketball-reference.com/req/202106291/images/players/turkohe01.jpg
349,1,Dwight Howard,24,ORL,110.0,576.0,610,0.944,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,2010,https://www.basketball-reference.com//players/h/howardw01.html,https://www.basketball-reference.com/req/202106291/images/players/howardw01.jpg
350,2,Josh Smith,24,ATL,3.0,136.0,610,0.223,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,2010,https://www.basketball-reference.com//players/s/smithjo03.html,https://www.basketball-reference.com/req/202106291/images/players/smithjo03.jpg
351,3,Gerald Wallace,27,CHA,1.0,113.0,610,0.185,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,2010,https://www.basketball-reference.com//players/w/wallage01.html,https://www.basketball-reference.com/req/202106291/images/players/wallage01.jpg
352,4,LeBron James,25,CLE,4.0,61.0,610,0.100,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299,2010,https://www.basketball-reference.com//players/j/jamesle01.html,https://www.basketball-reference.com/req/202106291/images/players/jamesle01.jpg
353,5,Rajon Rondo,23,BOS,1.0,55.0,610,0.090,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,2010,https://www.basketball-reference.com//players/r/rondora01.html,https://www.basketball-reference.com/req/202106291/images/players/rondora01.jpg
