,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
135,4T,Morris Peterson,23,TOR,3.0,3.0,124,0.024,80,22.6,9.3,3.2,1.3,0.8,0.3,.431,.382,.717,3.6,.096,2001,https://www.basketball-reference.com//players/p/petermo01.html,https://www.basketball-reference.com/req/202106291/images/players/petermo01.jpg
136,1,Pau Gasol,21,MEM,117.0,117.0,126,0.929,82,36.7,17.6,8.9,2.7,0.5,2.1,.518,.200,.709,7.6,.121,2002,https://www.basketball-reference.com//players/g/gasolpa01.html,https://www.basketball-reference.com/req/202106291/images/players/gasolpa01.jpg
137,2,Richard Jefferson,21,NJN,3.0,3.0,126,0.024,79,24.3,9.4,3.7,1.8,0.8,0.6,.457,.232,.713,4.7,.117,2002,https://www.basketball-reference.com//players/j/jefferi01.html,https://www.basketball-reference.com/req/202106291/images/players/jefferi01.jpg
138,3T,Andrei Kirilenko,20,UTA,2.0,2.0,126,0.016,82,26.2,10.7,4.9,1.1,1.4,1.9,.450,.250,.768,7.3,.164,2002,https://www.basketball-reference.com//players/k/kirilan01.html,https://www.basketball-reference.com/req/202106291/images/players/kirilan01.jpg
139,3T,Jason Richardson,21,GSW,2.0,2.0,126,0.016,80,32.9,14.4,4.3,3.0,1.3,0.4,.426,.333,.671,2.9,.052,2002,https://www.basketball-reference.com//players/r/richaja01.html,https://www.basketball-reference.com/req/202106291/images/players/richaja01.jpg
140,3T,Jamaal Tinsley,23,IND,2.0,2.0,126,0.016,80,30.5,9.4,3.7,8.1,1.7,0.5,.380,.240,.704,1.7,.033,2002,https://www.basketball-reference.com//players/t/tinslja01.html,https://www.basketball-reference.com/req/202106291/images/players/tinslja01.jpg
141,1,Amar'e Stoudemire,20,PHO,59.0,458.0,585,0.783,82,31.3,13.5,8.8,1.0,0.8,1.1,.472,.200,.661,6.2,.116,2003,https://www.basketball-reference.com//players/s/stoudam01.html,https://www.basketball-reference.com/req/202106291/images/players/stoudam01.jpg
142,2,Yao Ming,22,HOU,45.0,405.0,585,0.692,82,29.0,13.5,8.2,1.7,0.4,1.8,.498,.500,.811,8.7,.176,2003,https://www.basketball-reference.com//players/m/mingya01.html,https://www.basketball-reference.com/req/202106291/images/players/mingya01.jpg
143,3,Caron Butler,22,MIA,13.0,179.0,585,0.306,78,36.6,15.4,5.1,2.7,1.8,0.4,.416,.318,.824,5.1,.086,2003,https://www.basketball-reference.com//players/b/butleca01.html,https://www.basketball-reference.com/req/202106291/images/players/butleca01.jpg
144,4,Manu Ginóbili,25,SAS,0.0,5.0,585,0.009,69,20.7,7.6,2.3,2.0,1.4,0.2,.438,.345,.737,4.2,.141,2003,https://www.basketball-reference.com//players/g/ginobma01.html,https://www.basketball-reference.com/req/202106291/images/players/ginobma01.jpg
145,5,Drew Gooden,21,TOT,0.0,3.0,585,0.005,70,26.8,12.5,6.5,1.2,0.8,0.5,.457,.292,.712,1.7,.043,2003,https://www.basketball-reference.com//players/g/goodedr01.html,https://www.basketball-reference.com/req/202106291/images/players/goodedr01.jpg
146,6,Nenê,20,DEN,0.0,2.0,585,0.003,80,28.2,10.5,6.1,1.9,1.6,0.8,.519,.000,.578,5.0,.107,2003,https://www.basketball-reference.com//players/h/hilarne01.html,https://www.basketball-reference.com/req/202106291/images/players/hilarne01.jpg
147,7,Carlos Boozer,21,CLE,0.0,1.0,585,0.002,81,25.3,10.0,7.5,1.3,0.7,0.6,.536,.000,.771,5.9,.139,2003,https://www.basketball-reference.com//players/b/boozeca01.html,https://www.basketball-reference.com/req/202106291/images/players/boozeca01.jpg
148,1,LeBron James,19,CLE,78.0,508.0,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078,2004,https://www.basketball-reference.com//players/j/jamesle01.html,https://www.basketball-reference.com/req/202106291/images/players/jamesle01.jpg
149,2,Carmelo Anthony,19,DEN,40.0,430.0,590,0.729,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098,2004,https://www.basketball-reference.com//players/a/anthoca01.html,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg
150,3,Dwyane Wade,22,MIA,0.0,117.0,590,0.198,61,34.9,16.2,4.0,4.5,1.4,0.6,.465,.302,.747,4.6,.103,2004,https://www.basketball-reference.com//players/w/wadedw01.html,https://www.basketball-reference.com/req/202106291/images/players/wadedw01.jpg
151,4,Kirk Hinrich,23,CHI,0.0,4.0,590,0.007,76,35.6,12.0,3.4,6.8,1.3,0.3,.386,.390,.804,4.1,.072,2004,https://www.basketball-reference.com//players/h/hinriki01.html,https://www.basketball-reference.com/req/202106291/images/players/hinriki01.jpg
152,5,Chris Bosh,19,TOR,0.0,2.0,590,0.003,75,33.5,11.5,7.4,1.0,0.8,1.4,.459,.357,.701,6.2,.119,2004,https://www.basketball-reference.com//players/b/boshch01.html,https://www.basketball-reference.com/req/202106291/images/players/boshch01.jpg
153,6,Marquis Daniels,23,DAL,0.0,1.0,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,.494,.306,.769,3.2,.146,2004,https://www.basketball-reference.com//players/d/daniema01.html,https://www.basketball-reference.com/req/202106291/images/players/daniema01.jpg
154,1,Emeka Okafor,22,CHA,77.0,514.0,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074,2005,https://www.basketball-reference.com//players/o/okafoem01.html,https://www.basketball-reference.com/req/202106291/images/players/okafoem01.jpg
155,2,Ben Gordon,21,CHI,43.0,443.0,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,.411,.405,.863,3.5,.084,2005,https://www.basketball-reference.com//players/g/gordobe01.html,https://www.basketball-reference.com/req/202106291/images/players/gordobe01.jpg
156,3,Dwight Howard,19,ORL,6.0,161.0,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131,2005,https://www.basketball-reference.com//players/h/howardw01.html,https://www.basketball-reference.com/req/202106291/images/players/howardw01.jpg
157,4,Andre Iguodala,21,PHI,0.0,14.0,630,0.022,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118,2005,https://www.basketball-reference.com//players/i/iguodan01.html,https://www.basketball-reference.com/req/202106291/images/players/iguodan01.jpg
158,5T,Luol Deng,19,CHI,0.0,1.0,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,.434,.265,.741,3.0,.086,2005,https://www.basketball-reference.com//players/d/denglu01.html,https://www.basketball-reference.com/req/202106291/images/players/denglu01.jpg
