,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
259,2,Jason Terry,32,DAL,6.0,220.0,610,0.361,77,33.0,16.6,1.8,3.8,1.2,0.2,.438,.365,.866,6.5,.123,2010,https://www.basketball-reference.com//players/t/terryja01.html,https://www.basketball-reference.com/req/202106291/images/players/terryja01.jpg
260,3,Anderson Varejão,27,CLE,2.0,126.0,610,0.207,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179,2010,https://www.basketball-reference.com//players/v/varejan01.html,https://www.basketball-reference.com/req/202106291/images/players/varejan01.jpg
261,4,Manu Ginóbili,32,SAS,2.0,75.0,610,0.123,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216,2010,https://www.basketball-reference.com//players/g/ginobma01.html,https://www.basketball-reference.com/req/202106291/images/players/ginobma01.jpg
262,5,J.R. Smith,24,DEN,0.0,33.0,610,0.054,75,27.8,15.4,3.1,2.4,1.3,0.3,.414,.338,.706,2.7,.062,2010,https://www.basketball-reference.com//players/s/smithjr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
263,6,Lamar Odom,30,LAL,1.0,25.0,610,0.041,82,31.5,10.8,9.8,3.3,0.9,0.7,.463,.319,.693,7.7,.143,2010,https://www.basketball-reference.com//players/o/odomla01.html,https://www.basketball-reference.com/req/202106291/images/players/odomla01.jpg
264,7,Paul Millsap,24,UTA,1.0,15.0,610,0.025,82,27.8,11.6,6.8,1.6,0.8,1.2,.538,.111,.693,7.2,.151,2010,https://www.basketball-reference.com//players/m/millspa01.html,https://www.basketball-reference.com/req/202106291/images/players/millspa01.jpg
265,8,Carl Landry,26,TOT,0.0,12.0,610,0.020,80,30.9,16.8,5.9,0.8,0.7,0.8,.536,.333,.806,7.7,.150,2010,https://www.basketball-reference.com//players/l/landrca01.html,https://www.basketball-reference.com/req/202106291/images/players/landrca01.jpg
266,9,Udonis Haslem,29,MIA,0.0,5.0,610,0.008,78,27.9,9.9,8.1,0.7,0.4,0.3,.494,NO DATA,.762,6.0,.132,2010,https://www.basketball-reference.com//players/h/hasleud01.html,https://www.basketball-reference.com/req/202106291/images/players/hasleud01.jpg
267,10,Marcus Thornton,22,NOH,0.0,3.0,610,0.005,73,25.6,14.5,2.9,1.6,0.8,0.2,.451,.374,.814,4.0,.103,2010,https://www.basketball-reference.com//players/t/thornma01.html,https://www.basketball-reference.com/req/202106291/images/players/thornma01.jpg
268,11T,Jared Dudley,24,PHO,0.0,1.0,610,0.002,82,24.3,8.2,3.4,1.4,1.0,0.2,.459,.458,.754,5.3,.129,2010,https://www.basketball-reference.com//players/d/dudleja01.html,https://www.basketball-reference.com/req/202106291/images/players/dudleja01.jpg
269,11T,Al Harrington,29,NYK,0.0,1.0,610,0.002,72,30.5,17.7,5.6,1.5,0.9,0.4,.435,.342,.757,3.5,.077,2010,https://www.basketball-reference.com//players/h/harrial01.html,https://www.basketball-reference.com/req/202106291/images/players/harrial01.jpg
270,11T,Kevin Love,21,MIN,0.0,1.0,610,0.002,60,28.6,14.0,11.0,2.3,0.7,0.4,.450,.330,.815,4.9,.138,2010,https://www.basketball-reference.com//players/l/loveke01.html,https://www.basketball-reference.com/req/202106291/images/players/loveke01.jpg
271,11T,Kyle Lowry,23,HOU,0.0,1.0,610,0.002,68,24.3,9.1,3.6,4.5,0.9,0.1,.397,.272,.827,4.3,.126,2010,https://www.basketball-reference.com//players/l/lowryky01.html,https://www.basketball-reference.com/req/202106291/images/players/lowryky01.jpg
272,1,Lamar Odom,31,LAL,96.0,513.0,585,0.877,82,32.2,14.4,8.7,3.0,0.6,0.7,.530,.382,.675,10.1,.184,2011,https://www.basketball-reference.com//players/o/odomla01.html,https://www.basketball-reference.com/req/202106291/images/players/odomla01.jpg
273,2,Jason Terry,33,DAL,13.0,244.0,585,0.417,82,31.3,15.8,1.9,4.1,1.1,0.2,.451,.362,.850,5.3,.100,2011,https://www.basketball-reference.com//players/t/terryja01.html,https://www.basketball-reference.com/req/202106291/images/players/terryja01.jpg
274,3,Thaddeus Young,22,PHI,2.0,76.0,585,0.130,82,26.0,12.7,5.3,1.0,1.1,0.3,.541,.273,.707,6.2,.139,2011,https://www.basketball-reference.com//players/y/youngth01.html,https://www.basketball-reference.com/req/202106291/images/players/youngth01.jpg
275,4,Glen Davis,25,BOS,0.0,75.0,585,0.128,78,29.5,11.7,5.4,1.2,1.0,0.4,.448,.133,.736,4.9,.102,2011,https://www.basketball-reference.com//players/d/davisgl01.html,https://www.basketball-reference.com/req/202106291/images/players/davisgl01.jpg
276,5,Jamal Crawford,30,ATL,5.0,51.0,585,0.087,76,30.2,14.2,1.7,3.2,0.8,0.2,.421,.341,.854,3.4,.071,2011,https://www.basketball-reference.com//players/c/crawfja01.html,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
277,6,Lou Williams,24,PHI,1.0,26.0,585,0.044,75,23.3,13.7,2.0,3.4,0.6,0.2,.406,.348,.823,5.1,.141,2011,https://www.basketball-reference.com//players/w/willilo02.html,https://www.basketball-reference.com/req/202106291/images/players/willilo02.jpg
278,7,James Harden,21,OKC,0.0,19.0,585,0.032,82,26.7,12.2,3.1,2.1,1.1,0.3,.436,.349,.843,7.1,.156,2011,https://www.basketball-reference.com//players/h/hardeja01.html,https://www.basketball-reference.com/req/202106291/images/players/hardeja01.jpg
279,8,George Hill,24,SAS,0.0,18.0,585,0.031,76,28.3,11.6,2.6,2.5,0.9,0.3,.453,.377,.863,6.1,.136,2011,https://www.basketball-reference.com//players/h/hillge01.html,https://www.basketball-reference.com/req/202106291/images/players/hillge01.jpg
280,9,Marcin Gortat,26,TOT,0.0,11.0,585,0.019,80,25.4,10.2,7.9,0.9,0.5,1.1,.561,.250,.725,6.4,.152,2011,https://www.basketball-reference.com//players/g/gortama01.html,https://www.basketball-reference.com/req/202106291/images/players/gortama01.jpg
281,10,J.R. Smith,25,DEN,0.0,7.0,585,0.012,79,24.9,12.3,4.1,2.2,1.2,0.2,.435,.390,.738,5.0,.121,2011,https://www.basketball-reference.com//players/s/smithjr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
282,11T,Tony Allen,29,MEM,0.0,3.0,585,0.005,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,2011,https://www.basketball-reference.com//players/a/allento01.html,https://www.basketball-reference.com/req/202106291/images/players/allento01.jpg
283,11T,Ty Lawson,23,DEN,0.0,3.0,585,0.005,80,26.3,11.7,2.6,4.7,1.0,0.1,.503,.404,.764,6.7,.153,2011,https://www.basketball-reference.com//players/l/lawsoty01.html,https://www.basketball-reference.com/req/202106291/images/players/lawsoty01.jpg
284,11T,O.J. Mayo,23,MEM,0.0,3.0,585,0.005,71,26.3,11.3,2.4,2.0,1.0,0.4,.407,.364,.756,2.4,.062,2011,https://www.basketball-reference.com//players/m/mayooj01.html,https://www.basketball-reference.com/req/202106291/images/players/mayooj01.jpg
285,14,Toney Douglas,24,NYK,0.0,2.0,585,0.003,81,24.3,10.6,3.0,3.0,1.1,0.0,.416,.373,.794,4.2,.101,2011,https://www.basketball-reference.com//players/d/douglto01.html,https://www.basketball-reference.com/req/202106291/images/players/douglto01.jpg
286,15T,Matt Bonner,30,SAS,0.0,1.0,585,0.002,66,21.7,7.3,3.6,0.9,0.4,0.3,.464,.457,.744,4.4,.147,2011,https://www.basketball-reference.com//players/b/bonnema01.html,https://www.basketball-reference.com/req/202106291/images/players/bonnema01.jpg
287,15T,J.J. Redick,26,ORL,0.0,1.0,585,0.002,59,25.6,10.1,1.9,1.7,0.5,0.1,.441,.397,.875,4.5,.142,2011,https://www.basketball-reference.com//players/r/redicjj01.html,https://www.basketball-reference.com/req/202106291/images/players/redicjj01.jpg
288,1,James Harden,22,OKC,115.0,584.0,595,0.982,62,31.4,16.8,4.1,3.7,1.0,0.2,.491,.390,.846,9.3,.230,2012,https://www.basketball-reference.com//players/h/hardeja01.html,https://www.basketball-reference.com/req/202106291/images/players/hardeja01.jpg
289,2,Lou Williams,25,PHI,3.0,231.0,595,0.388,64,26.3,14.9,2.4,3.5,0.8,0.3,.407,.362,.812,6.1,.174,2012,https://www.basketball-reference.com//players/w/willilo02.html,https://www.basketball-reference.com/req/202106291/images/players/willilo02.jpg
290,3,Jason Terry,34,DAL,0.0,81.0,595,0.136,63,31.7,15.1,2.4,3.6,1.2,0.2,.430,.378,.883,3.8,.092,2012,https://www.basketball-reference.com//players/t/terryja01.html,https://www.basketball-reference.com/req/202106291/images/players/terryja01.jpg
291,4,Al Harrington,31,DEN,0.0,42.0,595,0.071,64,27.5,14.2,6.1,1.4,0.9,0.2,.446,.333,.676,3.2,.088,2012,https://www.basketball-reference.com//players/h/harrial01.html,https://www.basketball-reference.com/req/202106291/images/players/harrial01.jpg
292,5T,Taj Gibson,26,CHI,1.0,28.0,595,0.047,63,20.4,7.7,5.3,0.7,0.4,1.3,.495,NO DATA,.622,4.5,.167,2012,https://www.basketball-reference.com//players/g/gibsota01.html,https://www.basketball-reference.com/req/202106291/images/players/gibsota01.jpg
293,5T,Manu Ginóbili,34,SAS,0.0,28.0,595,0.047,34,23.3,12.9,3.4,4.4,0.7,0.4,.526,.413,.871,4.2,.257,2012,https://www.basketball-reference.com//players/g/ginobma01.html,https://www.basketball-reference.com/req/202106291/images/players/ginobma01.jpg
294,7,O.J. Mayo,24,MEM,0.0,18.0,595,0.030,66,26.8,12.6,3.2,2.6,1.1,0.3,.408,.364,.773,3.5,.094,2012,https://www.basketball-reference.com//players/m/mayooj01.html,https://www.basketball-reference.com/req/202106291/images/players/mayooj01.jpg
295,8,Mo Williams,29,LAC,0.0,14.0,595,0.024,52,28.3,13.2,1.9,3.1,1.0,0.1,.426,.389,.900,2.8,.093,2012,https://www.basketball-reference.com//players/w/willima01.html,https://www.basketball-reference.com/req/202106291/images/players/willima01.jpg
296,9,Thaddeus Young,23,PHI,0.0,10.0,595,0.017,63,27.9,12.8,5.2,1.2,1.0,0.7,.507,.250,.771,6.3,.171,2012,https://www.basketball-reference.com//players/y/youngth01.html,https://www.basketball-reference.com/req/202106291/images/players/youngth01.jpg
297,10,Kyle Korver,30,CHI,0.0,4.0,595,0.007,65,22.6,8.1,2.4,1.7,0.6,0.2,.432,.435,.833,5.3,.172,2012,https://www.basketball-reference.com//players/k/korveky01.html,https://www.basketball-reference.com/req/202106291/images/players/korveky01.jpg
298,11T,Jamal Crawford,31,POR,0.0,3.0,595,0.005,60,26.9,14.0,2.0,3.2,0.9,0.2,.384,.308,.927,2.3,.069,2012,https://www.basketball-reference.com//players/c/crawfja01.html,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
299,11T,Carl Landry,28,NOH,0.0,3.0,595,0.005,41,24.4,12.5,5.2,0.9,0.3,0.3,.503,.000,.799,2.9,.139,2012,https://www.basketball-reference.com//players/l/landrca01.html,https://www.basketball-reference.com/req/202106291/images/players/landrca01.jpg
300,11T,Zach Randolph,30,MEM,0.0,3.0,595,0.005,28,26.3,11.6,8.0,1.7,0.8,0.1,.463,.250,.659,2.1,.135,2012,https://www.basketball-reference.com//players/r/randoza01.html,https://www.basketball-reference.com/req/202106291/images/players/randoza01.jpg
301,11T,C.J. Watson,27,CHI,0.0,3.0,595,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,.368,.393,.808,2.6,.109,2012,https://www.basketball-reference.com//players/w/watsocj01.html,https://www.basketball-reference.com/req/202106291/images/players/watsocj01.jpg
